token_1,ws,token_2,count
IDENTIFIER,1_NL,AT,7506
=,0_None,STRING_LITERAL,751
),1_NL,public,10061
),1_NL,private,2462
STRING_LITERAL,0_None,",",70618
=,0_None,BOOL_LITERAL,138
BOOL_LITERAL,0_None,",",4085
INTEGER_LITERAL,0_None,),31784
BOOL_LITERAL,0_None,),11123
;,2_NL,public,18675
},2_NL,public,53832
{,2_NL_3_SP,private,63
;,2_NL_1_SP,private,3
;,2_NL,IDENTIFIER,28967
>,0_None,(,50073
(,0_None,new,22706
!,1_SP,IDENTIFIER,85
},2_NL,this,253
return,1_SP,!,478
=,1_SP,-,1559
-,0_None,INTEGER_LITERAL,10170
{,1_NL_4_SP,super,4437
},1_NL,COMMENT,4377
{,2_NL_1_TB,AT,1108
IDENTIFIER,1_NL_3_SP,private,12
),1_NL_4_SP,throws,683
throws,1_SP,IDENTIFIER,63133
{,1_NL,IDENTIFIER,528
+,1_SP,STRING_LITERAL,38150
return,1_SP,new,17183
IDENTIFIER,1_NL_16_SP,extends,1
>,2_SP,{,4
{,2_NL_12_SP,private,16
;,3_NL,COMMENT,1116
},3_NL,AT,1157
public,1_SP,interface,4491
interface,1_SP,IDENTIFIER,5219
IDENTIFIER,0_None,{,531
{,2_NL_4_SP,COMMENT,2188
",",2_SP,IDENTIFIER,141
},0_None,EOF,1550
=,2_SP,IDENTIFIER,181
{,1_NL_4_SP,COMMENT,14927
COMMENT,1_NL,private,21772
",",1_NL_12_SP,IDENTIFIER,52
{,1_NL_8_SP,boolean,1
;,1_NL,for,21695
for,0_None,(,4696
IDENTIFIER,0_None,:,27345
IDENTIFIER,1_SP,|,3512
|,1_SP,IDENTIFIER,3430
{,1_NL_4_SP,boolean,1232
{,1_NL_4_SP,for,116
{,2_NL_4_SP,public,587
=,1_NL_4_SP,STRING_LITERAL,124
;,2_NL_4_SP,COMMENT,280
;,1_NL_4_SP,public,35
=,1_NL_4_SP,IDENTIFIER,877
;,1_NL_4_SP,COMMENT,255
",",1_NL_23_SP,IDENTIFIER,86
;,1_NL_27_SP,COMMENT,26
;,2_NL_27_SP,public,2
=,1_NL_4_SP,new,310
;,2_NL_4_SP,public,84
;,1_NL_31_SP,},12
{,1_NL_3_TB,return,11
;,1_NL_3_SP,},37
COMMENT,2_NL,package,5869
.,0_None,*,3942
*,0_None,;,3942
static,1_SP,volatile,75
volatile,1_SP,IDENTIFIER,430
=,1_SP,NULL_LITERAL,11742
NULL_LITERAL,0_None,;,19436
private,1_SP,final,24136
static,1_SP,IDENTIFIER,24464
{,1_NL_4_SP,synchronized,459
synchronized,1_SP,(,1541
},2_NL,protected,3797
),1_SP,throws,59930
),1_SP,==,13823
==,1_SP,INTEGER_LITERAL,5708
return,0_None,;,5400
<,0_None,>,39170
},2_NL,IDENTIFIER,12585
),0_None,",",77504
;,2_NL,if,11064
else,1_SP,{,26338
COMMENT,1_NL,boolean,1712
",",1_SP,BOOL_LITERAL,9599
),1_SP,+,14543
;,1_NL,try,7948
;,2_NL,while,369
while,1_SP,(,6113
(,0_None,INTEGER_LITERAL,12620
throw,1_SP,IDENTIFIER,6990
},1_SP,finally,1592
finally,1_SP,{,1611
protected,1_SP,void,3468
),1_SP,>,2988
>,1_SP,INTEGER_LITERAL,5563
!,0_None,IDENTIFIER,31746
),1_SP,&&,6917
&&,1_SP,IDENTIFIER,15652
;,1_NL,break,7373
break,0_None,;,12200
{,1_NL_8_SP,COMMENT,30
COMMENT,1_NL_12_SP,try,24
},1_NL_12_SP,COMMENT,20
COMMENT,1_NL_8_SP,},62
>,0_None,>,13905
;,1_NL,while,3697
NULL_LITERAL,1_SP,&&,10886
&&,1_SP,(,1134
||,1_SP,STRING_LITERAL,91
",",1_SP,STRING_LITERAL,36634
;,1_NL_16_SP,COMMENT,57
COMMENT,1_NL_16_SP,if,6
{,1_NL_4_SP,int,5505
++,0_None,",",197
",",1_SP,INTEGER_LITERAL,8993
;,2_NL,boolean,837
;,2_NL,return,5578
{,1_NL_1_TB,private,355
",",1_NL_2_TB,IDENTIFIER,2596
",",1_SP,int,13375
),1_NL,throws,347
{,1_NL_1_TB,IDENTIFIER,357
;,1_NL,boolean,2224
{,1_NL_1_TB,IDENTIFIER,67886
;,1_NL_2_TB,IDENTIFIER,567
{,1_NL_1_TB,if,19977
;,1_NL,throw,2807
IDENTIFIER,1_NL_2_TB,+,60
;,1_NL_3_TB,},1972
;,1_NL_1_TB,},110892
},2_NL,return,7967
{,1_NL_1_TB,throw,16915
IDENTIFIER,1_SP,&&,4219
&&,1_SP,!,7044
COMMENT,1_NL,if,15285
{,1_NL_1_TB,return,14145
COMMENT,1_NL,throw,1304
},1_NL_1_TB,},33199
},2_NL,private,22184
private,1_SP,void,9573
{,1_NL_1_TB,try,4651
{,1_NL_1_TB,COMMENT,13214
),1_SP,->,3339
->,1_SP,IDENTIFIER,5681
},2_NL_1_SP,},558
",",1_NL_40_SP,IDENTIFIER,71
{,1_NL_36_SP,IDENTIFIER,45
=,1_SP,this,3514
IDENTIFIER,1_SP,->,7279
->,1_SP,{,2527
},0_None,),5100
COMMENT,1_NL_12_SP,COMMENT,54
COMMENT,1_NL_12_SP,IDENTIFIER,99
IDENTIFIER,1_SP,:,29548
;,1_NL_12_SP,COMMENT,138
COMMENT,2_NL_12_SP,COMMENT,35
[,0_None,INTEGER_LITERAL,5245
