token_1,ws,token_2,count
;,1_NL_18_SP,},9
",",1_SP,?,920
",",1_NL_64_SP,AT,10
{,1_NL_60_SP,return,10
{,1_NL_19_SP,this,32
{,1_NL_20_SP,IDENTIFIER,11
),1_NL_8_SP,.,259
;,1_NL_8_SP,return,931
;,3_NL_8_SP,(,2
;,2_NL_8_SP,return,286
||,1_SP,!,661
&&,1_NL_8_SP,(,40
{,1_NL_4_SP,throw,105
",",1_NL,BOOL_LITERAL,149
},3_NL,if,55
},3_NL,private,211
",",1_NL_75_SP,IDENTIFIER,7
;,1_NL_75_SP,IDENTIFIER,4
NULL_LITERAL,0_None,?,3
this,0_None,::,552
),0_None,::,51
protected,1_SP,<,79
;,2_NL_35_SP,},2
{,1_NL_23_SP,this,67
",",1_SP,(,4384
{,2_NL_2_SP,for,11
",",1_NL_56_SP,IDENTIFIER,15
{,1_NL_52_SP,return,2
",",1_NL_55_SP,IDENTIFIER,8
{,1_NL_51_SP,return,1
(,1_NL_8_SP,IDENTIFIER,4548
",",1_NL_65_SP,IDENTIFIER,10
{,1_NL_61_SP,return,17
",",1_NL_66_SP,IDENTIFIER,21
{,1_NL_62_SP,return,17
",",1_NL_49_SP,IDENTIFIER,27
{,1_NL_45_SP,IDENTIFIER,31
{,1_NL_33_SP,this,14
{,2_NL_48_SP,if,2
:,1_SP,STRING_LITERAL,1230
STRING_LITERAL,1_SP,),11634
",",1_NL_39_SP,STRING_LITERAL,2
;,2_NL_39_SP,IDENTIFIER,2
",",1_NL_81_SP,IDENTIFIER,1
;,2_NL_85_SP,},1
->,1_NL_12_SP,IDENTIFIER,1
;,1_NL_16_SP,},82
(,0_None,final,18083
",",1_NL_73_SP,AT,1
{,1_NL_69_SP,return,1
;,1_NL_48_SP,},14
",",2_NL,COMMENT,1974
IDENTIFIER,1_NL_2_SP,},107
&&,1_NL_4_SP,(,52
",",1_NL_59_SP,IDENTIFIER,25
;,1_NL_41_SP,},15
",",1_NL_56_SP,AT,1
",",1_NL_35_SP,IDENTIFIER,93
;,1_NL_39_SP,},12
",",1_NL_57_SP,IDENTIFIER,20
;,1_NL_57_SP,IDENTIFIER,1
),1_NL_8_SP,IDENTIFIER,49
extends,1_NL_8_SP,IDENTIFIER,114
{,2_NL_4_SP,enum,1
IDENTIFIER,1_NL,default,59
default,1_SP,IDENTIFIER,339
},2_NL_2_SP,public,7
||,1_SP,(,562
{,2_NL_26_SP,if,4
;,1_NL_37_SP,IDENTIFIER,2
;,1_NL_43_SP,IDENTIFIER,4
",",1_NL_45_SP,IDENTIFIER,22
;,1_NL_45_SP,IDENTIFIER,3
;,1_NL_46_SP,if,2
;,1_NL_63_SP,},11
;,1_NL_64_SP,},3
{,1_NL_4_SP,while,886
;,1_NL_34_SP,IDENTIFIER,2
;,1_NL_36_SP,IDENTIFIER,11
{,1_NL_4_SP,(,190
{,1_NL,this,51
},2_NL,try,1035
{,2_NL_4_SP,protected,121
{,1_NL_48_SP,COMMENT,2
=,1_NL_8_SP,IDENTIFIER,1665
",",1_NL_82_SP,IDENTIFIER,2
;,2_NL_90_SP,for,2
{,1_NL_40_SP,if,2
;,1_NL_23_SP,},74
{,1_NL_30_SP,IDENTIFIER,339
;,2_NL_38_SP,for,2
{,1_SP,COMMENT,384
COMMENT,1_NL_4_SP,COMMENT,51
),1_NL_36_SP,+,2
;,1_NL_40_SP,},37
{,1_NL_39_SP,if,3
{,2_NL_4_SP,try,137
{,1_SP,STRING_LITERAL,365
STRING_LITERAL,1_SP,},389
{,2_NL_2_SP,if,6
;,1_NL_20_SP,},936
},2_NL_2_SP,AT,4
},2_NL_2_SP,protected,1
;,1_NL_4_SP,this,147
IDENTIFIER,1_NL_2_SP,=,3
;,1_NL_2_SP,IDENTIFIER,240
;,2_NL_2_SP,for,5
;,2_NL_4_SP,if,200
;,1_NL_10_SP,},318
;,1_NL_38_SP,},24
",",1_NL_34_SP,AT,11
",",1_NL,AT,933
{,1_NL_30_SP,super,16
",",1_NL_6_SP,IDENTIFIER,85
{,1_NL_73_SP,return,9
{,1_NL_33_SP,return,4
{,1_NL_43_SP,return,7
IDENTIFIER,1_NL_8_SP,),243
",",1_NL_63_SP,AT,16
{,1_NL_59_SP,return,16
",",1_NL_8_SP,IDENTIFIER,737
",",1_NL_65_SP,AT,10
{,2_NL,return,51
(,1_NL_4_SP,new,382
",",1_NL_4_SP,new,160
",",1_NL_16_SP,new,177
",",1_NL_66_SP,AT,12
",",1_NL_60_SP,AT,10
",",1_NL_62_SP,AT,8
{,1_NL_58_SP,return,8
",",1_NL_72_SP,AT,4
{,1_NL_68_SP,return,4
",",1_NL_77_SP,AT,4
",",1_NL_94_SP,new,4
",",1_NL_49_SP,IDENTIFIER,4
{,2_NL_2_SP,this,10
{,1_NL_45_SP,this,6
",",1_NL_105_SP,IDENTIFIER,2
;,1_NL_105_SP,if,2
},2_NL,static,1197
static,1_SP,class,2856
),1_NL_53_SP,.,4
;,1_NL_57_SP,},8
",",1_NL_28_SP,IDENTIFIER,105
),1_NL_28_SP,public,2
IDENTIFIER,2_SP,{,31
{,2_NL_2_SP,void,22
(,0_None,byte,4898
{,2_NL_6_SP,AT,1
{,1_NL_43_SP,this,2
{,1_NL_49_SP,super,1
),1_NL_32_SP,.,6
;,1_NL_57_SP,try,2
",",1_NL_8_SP,STRING_LITERAL,1454
),1_NL_8_SP,AT,375
(,0_None,{,789
{,2_NL_4_SP,IDENTIFIER,92
;,1_NL_26_SP,IDENTIFIER,6
{,1_NL_35_SP,if,11
",",1_NL_71_SP,IDENTIFIER,10
;,1_NL_47_SP,},9
IDENTIFIER,1_SP,(,465
",",1_NL_103_SP,IDENTIFIER,4
{,1_NL_99_SP,return,4
",",1_NL_28_SP,final,88
",",1_NL,final,508
{,2_NL_24_SP,COMMENT,1
COMMENT,2_NL,IDENTIFIER,1025
;,1_NL_37_SP,},45
),1_NL_39_SP,.,8
;,1_NL_43_SP,},19
{,1_NL_43_SP,if,7
;,1_NL_19_SP,return,7
",",1_NL,this,293
;,1_NL_35_SP,},24
;,1_SP,COMMENT,3248
-,1_SP,INTEGER_LITERAL,3088
{,1_NL_51_SP,this,3
",",1_NL_101_SP,IDENTIFIER,2
;,1_NL_101_SP,if,2
{,1_NL_3_SP,IDENTIFIER,761
),1_NL_7_SP,.,27
",",1_NL_62_SP,IDENTIFIER,9
;,1_NL_72_SP,},6
{,1_NL_40_SP,return,3
",",1_NL_41_SP,IDENTIFIER,1
>,1_NL_51_SP,implements,2
{,2_NL_47_SP,public,2
),1_NL_18_SP,.,13
",",1_NL_38_SP,IDENTIFIER,76
;,1_NL_60_SP,},3
IDENTIFIER,1_NL_4_SP,.,896
COMMENT,1_NL_4_SP,if,6
{,1_NL_2_SP,new,18
;,1_NL_27_SP,(,2
;,2_NL_43_SP,(,2
",",1_SP,final,7646
COMMENT,1_NL,final,1162
{,2_NL_2_SP,final,10
{,1_NL_2_SP,(,214
{,1_NL_34_SP,this,13
IDENTIFIER,2_NL_2_SP,},1
",",1_NL_2_SP,},21
),1_NL_20_SP,IDENTIFIER,1
{,1_NL_27_SP,this,16
;,1_NL_4_SP,if,924
{,1_NL,if,56
{,2_NL_42_SP,IDENTIFIER,3
&&,1_NL_8_SP,!,34
",",1_NL_54_SP,NULL_LITERAL,2
;,2_NL_54_SP,IDENTIFIER,3
;,2_NL_48_SP,IDENTIFIER,3
;,2_NL_12_SP,},136
",",1_NL_62_SP,NULL_LITERAL,2
;,1_NL_62_SP,IDENTIFIER,4
",",1_NL_60_SP,NULL_LITERAL,2
;,2_NL_60_SP,IDENTIFIER,3
",",1_NL_109_SP,IDENTIFIER,2
;,1_NL_109_SP,return,2
?,0_None,",",316
{,1_NL,try,21
",",1_NL_8_SP,BOOL_LITERAL,72
INTEGER_LITERAL,1_SP,),5606
STRING_LITERAL,1_NL_8_SP,+,1276
},1_NL,},25
",",1_NL_21_SP,IDENTIFIER,30
{,1_NL_17_SP,this,40
),1_NL_46_SP,.,2
;,2_NL_46_SP,try,1
",",1_NL_54_SP,IDENTIFIER,14
;,1_NL_54_SP,return,1
;,1_NL_46_SP,return,2
long,0_None,),527
},2_NL,throw,227
implements,1_NL_4_SP,IDENTIFIER,68
{,2_NL,AT,77
;,2_NL,long,591
;,2_NL_8_SP,},44
;,2_NL,static,549
{,1_NL_2_SP,char,11
char,1_SP,IDENTIFIER,731
;,1_NL,switch,1118
switch,1_SP,(,3172
{,1_NL,case,1477
case,1_SP,STRING_LITERAL,3370
STRING_LITERAL,0_None,:,3375
:,1_NL_2_SP,IDENTIFIER,643
;,1_NL_2_SP,case,1069
;,1_NL_2_SP,default,194
default,0_None,:,2873
!=,1_SP,INTEGER_LITERAL,3037
{,1_NL_24_SP,this,12
",",1_NL_29_SP,IDENTIFIER,52
{,1_NL_25_SP,this,19
},2_NL_1_SP,public,10
{,1_NL_3_SP,return,354
",",1_NL_5_SP,IDENTIFIER,7
;,1_NL_9_SP,},62
",",1_NL_5_SP,BOOL_LITERAL,3
",",1_NL_25_SP,boolean,5
{,1_NL_21_SP,COMMENT,3
",",1_NL_74_SP,IDENTIFIER,4
;,1_NL_74_SP,return,3
",",1_NL_49_SP,STRING_LITERAL,3
COMMENT,1_NL_49_SP,IDENTIFIER,3
),1_NL_33_SP,.,2
INTEGER_LITERAL,1_SP,&&,1597
;,2_NL_62_SP,return,1
.,0_None,super,13
{,2_NL_2_SP,IDENTIFIER,36
;,2_NL_4_SP,return,177
COMMENT,2_NL_2_SP,},13
||,1_NL_4_SP,IDENTIFIER,45
<=,1_SP,INTEGER_LITERAL,608
{,1_NL_2_SP,int,1526
{,1_NL_2_SP,long,331
;,2_NL,do,36
do,1_SP,{,432
IDENTIFIER,1_SP,*=,57
*=,1_SP,IDENTIFIER,50
},1_SP,while,454
;,2_NL,throw,50
",",1_NL_69_SP,IDENTIFIER,4
;,1_NL_66_SP,},2
",",1_NL_44_SP,AT,8
{,1_NL_40_SP,this,6
{,1_NL_49_SP,this,2
;,2_NL_54_SP,return,2
{,1_NL_2_SP,continue,169
continue,0_None,;,3027
==,1_SP,BOOL_LITERAL,145
{,1_NL_40_SP,super,2
{,1_NL_34_SP,super,3
{,1_NL_39_SP,IDENTIFIER,40
",",1_NL_19_SP,boolean,5
{,2_NL_15_SP,COMMENT,2
},2_NL,super,52
",",1_NL_13_SP,IDENTIFIER,22
",",1_NL_7_SP,BOOL_LITERAL,3
;,1_NL_11_SP,},295
",",1_NL_74_SP,this,4
;,1_NL_78_SP,},4
),1_SP,COMMENT,788
{,1_NL_32_SP,return,4
;,2_NL_20_SP,IDENTIFIER,4
;,2_NL_26_SP,IDENTIFIER,3
;,2_NL_38_SP,return,1
&&,1_NL_4_SP,!,36
IDENTIFIER,1_NL_49_SP,implements,2
{,1_NL_45_SP,private,2
),2_NL,public,5
),1_NL_34_SP,.,6
},4_NL,public,48
{,2_NL_65_SP,IDENTIFIER,1
",",1_NL_76_SP,IDENTIFIER,2
;,2_NL_76_SP,IDENTIFIER,1
),1_NL_60_SP,.,2
;,1_NL_80_SP,IDENTIFIER,2
{,2_NL_55_SP,IDENTIFIER,1
),1_NL_55_SP,.,1
",",1_NL,NULL_LITERAL,220
;,1_NL_85_SP,IDENTIFIER,1
),1_NL_39_SP,.,1
+,1_NL_43_SP,STRING_LITERAL,2
{,2_NL_4_SP,int,73
;,2_NL_8_SP,int,21
COMMENT,1_NL_4_SP,IDENTIFIER,448
{,1_NL_14_SP,super,6
;,1_NL_27_SP,if,3
;,1_NL_73_SP,},1
;,1_NL_56_SP,IDENTIFIER,1
",",1_NL_58_SP,IDENTIFIER,27
;,1_NL_58_SP,IDENTIFIER,1
;,2_NL_63_SP,boolean,1
;,1_NL_62_SP,},3
},1_NL,(,33
{,1_NL,return,167
),1_NL_48_SP,.,10
),1_NL_48_SP,.,9
;,1_NL_2_SP,private,3
;,1_NL_2_SP,private,1
;,2_NL_2_SP,public,20
;,1_NL_2_SP,this,1
},1_NL_2_SP,return,2
;,1_NL,},115
),1_SP,<=,404
{,1_NL_32_SP,super,6
),1_NL_38_SP,.,13
),1_NL_25_SP,.,8
),1_NL_25_SP,.,2
),1_NL_38_SP,.,5
(,1_SP,(,2520
;,2_NL_44_SP,IDENTIFIER,1
{,1_NL_33_SP,super,19
),1_NL,COMMENT,102
COMMENT,1_NL_4_SP,.,10
{,1_NL_24_SP,super,12
",",1_NL_16_SP,BOOL_LITERAL,6
{,1_NL_15_SP,IDENTIFIER,31
",",1_NL_9_SP,IDENTIFIER,5
;,1_NL_13_SP,},15
",",1_NL_27_SP,boolean,3
{,1_NL_23_SP,COMMENT,2
;,1_NL_13_SP,return,5
{,1_NL_15_SP,if,1
},1_NL,super,81
{,2_NL_2_SP,protected,1
?,1_NL_46_SP,IDENTIFIER,2
:,1_NL,NULL_LITERAL,1
;,2_NL_46_SP,return,1
&&,2_SP,IDENTIFIER,32
{,2_NL_31_SP,if,2
NULL_LITERAL,1_SP,),5142
},2_NL,final,464
;,1_NL,final,3019
;,2_NL,final,1254
{,2_NL_8_SP,IDENTIFIER,1
;,2_NL_52_SP,if,2
},2_NL_8_SP,},5
;,1_NL_82_SP,},1
;,1_NL_36_SP,},20
{,2_NL_30_SP,IDENTIFIER,1
;,1_NL_25_SP,},13
{,2_NL_43_SP,IDENTIFIER,1
{,2_NL_45_SP,IDENTIFIER,4
{,2_NL_37_SP,IDENTIFIER,1
",",1_NL_51_SP,IDENTIFIER,5
;,1_NL_51_SP,IDENTIFIER,4
;,1_NL_58_SP,if,2
",",1_NL_68_SP,IDENTIFIER,4
final,1_SP,boolean,1843
try,1_SP,(,1987
COMMENT,2_NL_4_SP,},75
{,2_NL_39_SP,for,1
;,1_NL_30_SP,IDENTIFIER,6
;,1_NL_19_SP,if,2
",",1_NL_30_SP,STRING_LITERAL,7
",",1_NL_35_SP,STRING_LITERAL,1
",",1_NL_26_SP,STRING_LITERAL,1
},2_NL_2_SP,COMMENT,5
{,2_NL_44_SP,this,1
{,2_NL_3_SP,IDENTIFIER,4
;,2_NL_3_SP,},31
",",1_NL_43_SP,AT,2
",",1_NL_85_SP,IDENTIFIER,1
",",1_NL_25_SP,new,1
(,1_NL_7_SP,IDENTIFIER,1
",",1_NL_38_SP,IDENTIFIER,1
",",1_NL,new,1362
),1_NL_4_SP,),4926
;,2_NL,(,2
{,1_NL,boolean,4
{,1_NL_4_SP,do,130
{,2_NL,IDENTIFIER,118
",",1_NL_58_SP,this,1
),1_SP,super,25
),1_NL_64_SP,.,2
),1_NL_64_SP,.,2
),1_NL_70_SP,.,2
),1_NL_70_SP,.,2
;,1_NL_21_SP,},17
},2_NL,class,118
),1_NL_21_SP,.,10
",",1_NL_46_SP,AT,2
{,1_NL_42_SP,this,3
class,1_SP,+,2
;,1_NL_4_SP,for,202
COMMENT,1_NL,(,57
;,4_NL_4_SP,},7
;,1_NL_34_SP,},11
IDENTIFIER,1_NL_16_SP,.,70
",",1_NL_67_SP,IDENTIFIER,6
{,1_NL_63_SP,return,2
},2_NL_2_SP,private,1
||,1_NL,IDENTIFIER,169
",",1_NL_106_SP,IDENTIFIER,1
{,1_NL_102_SP,IDENTIFIER,1
{,3_NL_4_SP,public,9
{,2_NL_34_SP,return,3
;,1_NL_46_SP,},10
",",1_NL_61_SP,IDENTIFIER,4
{,1_NL_57_SP,return,1
;,1_NL_42_SP,},18
IDENTIFIER,0_None,},680
;,1_NL_67_SP,if,1
{,2_NL_4_SP,<,4
",",1_NL_6_SP,NULL_LITERAL,1
->,1_NL_8_SP,IDENTIFIER,249
",",1_NL_37_SP,new,1
;,1_NL_81_SP,},2
private,1_SP,byte,377
},2_NL,byte,45
protected,1_SP,byte,58
},1_NL,try,1187
{,1_NL_22_SP,this,25
{,2_NL_27_SP,this,1
:,0_None,IDENTIFIER,69
{,1_NL_4_SP,<,19
!,0_None,this,355
{,1_NL_9_SP,this,3
;,1_NL_32_SP,IDENTIFIER,13
{,1_NL_13_SP,IDENTIFIER,4
;,1_NL_29_SP,IDENTIFIER,4
IDENTIFIER,1_NL_17_SP,.,2
COMMENT,1_NL,while,211
IDENTIFIER,3_NL_4_SP,},1
},3_NL,public,791
;,1_NL_75_SP,return,3
:,1_SP,this,652
&&,1_NL_7_SP,IDENTIFIER,64
;,1_NL_7_SP,return,3
;,1_NL_33_SP,},13
public,1_SP,byte,552
{,1_NL_16_SP,IDENTIFIER,1
NULL_LITERAL,1_SP,!=,1126
+,1_NL_4_SP,STRING_LITERAL,99
{,1_NL_13_SP,return,2
byte,1_SP,[,11
",",1_NL_19_SP,byte,1
{,1_NL_15_SP,this,28
;,1_NL,static,778
==,1_SP,-,790
{,1_NL_46_SP,if,1
IDENTIFIER,1_NL_50_SP,implements,2
{,2_NL_46_SP,private,2
{,1_NL_14_SP,IDENTIFIER,1
abstract,1_SP,void,598
;,2_NL_37_SP,protected,1
{,1_NL_28_SP,COMMENT,1
",",1_NL_18_SP,(,1
;,1_NL_22_SP,},22
{,1_NL_29_SP,IDENTIFIER,182
COMMENT,1_NL_4_SP,COMMENT,22
COMMENT,1_NL,},608
;,1_NL_32_SP,},25
>,1_NL_43_SP,implements,1
{,2_NL_39_SP,private,1
;,4_NL,public,29
;,2_NL_50_SP,IDENTIFIER,4
{,1_NL_31_SP,this,29
&&,1_NL,(,61
},1_NL_8_SP,),155
",",0_None,STRING_LITERAL,429
},3_NL,IDENTIFIER,109
",",1_NL_34_SP,final,341
{,1_NL_30_SP,if,6
",",1_NL_32_SP,(,1
;,1_NL_53_SP,},7
",",1_NL_29_SP,(,1
",",1_NL_30_SP,(,1
",",1_NL_44_SP,final,18
{,1_NL_40_SP,final,1
;,1_NL_58_SP,return,1
",",1_NL_49_SP,final,27
{,1_NL_45_SP,final,1
;,1_NL_59_SP,return,1
",",1_NL_40_SP,final,42
{,1_NL_36_SP,if,3
{,1_NL_36_SP,try,1
;,1_NL_12_SP,return,20
",",1_NL_42_SP,final,50
{,1_NL_38_SP,final,1
;,3_NL_4_SP,},53
IDENTIFIER,1_SP,+=,4728
+=,1_SP,STRING_LITERAL,407
[,0_None,new,1
),1_SP,(,2947
{,1_NL_27_SP,super,3
==,1_SP,STRING_LITERAL,439
IDENTIFIER,1_SP,-,4585
STRING_LITERAL,1_SP,||,39
;,2_NL_74_SP,IDENTIFIER,1
?,1_SP,NULL_LITERAL,630
NULL_LITERAL,1_SP,:,775
protected,1_SP,synchronized,26
;,1_NL,AT,1558
),1_NL_29_SP,.,2
;,1_NL_29_SP,return,2
;,1_NL_29_SP,try,1
{,1_NL_4_SP,public,1921
{,1_NL_39_SP,super,5
",",1_NL_40_SP,IDENTIFIER,2
{,1_NL_39_SP,this,1
{,1_NL_36_SP,super,7
;,1_NL_6_SP,this,4
{,2_NL_52_SP,IDENTIFIER,2
",",1_NL_90_SP,IDENTIFIER,2
;,1_NL_94_SP,},2
NULL_LITERAL,1_NL_4_SP,&&,80
{,1_NL_46_SP,int,1
;,1_NL_35_SP,if,3
{,1_NL_32_SP,IDENTIFIER,135
{,1_NL_72_SP,return,1
",",1_NL_70_SP,IDENTIFIER,2
;,1_NL_74_SP,},1
;,1_NL_75_SP,},1
",",1_NL_28_SP,int,1
{,1_NL_24_SP,IDENTIFIER,92
;,1_NL_32_SP,return,5
{,3_NL_4_SP,protected,10
COMMENT,1_NL_2_SP,IDENTIFIER,78
},3_NL_2_SP,},28
{,2_NL_2_SP,super,4
{,1_NL_54_SP,this,1
;,1_NL_53_SP,IDENTIFIER,2
",",1_NL_4_SP,boolean,15
||,1_NL_4_SP,(,15
&&,1_NL_4_SP,IDENTIFIER,67
{,1_NL_6_SP,try,1
),1_SP,>=,566
;,1_NL_2_SP,try,3
IDENTIFIER,1_NL_20_SP,.,1
;,2_NL_4_SP,for,49
{,1_NL_26_SP,super,4
",",0_None,IDENTIFIER,10235
{,2_NL_2_SP,try,40
{,1_NL_37_SP,if,1
",",1_NL_25_SP,this,1
;,1_NL_29_SP,},7
;,2_NL_12_SP,COMMENT,21
;,1_NL_12_SP,for,2
;,1_NL_12_SP,IDENTIFIER,15
(,1_NL_8_SP,new,468
;,2_NL_20_SP,COMMENT,8
",",1_NL_12_SP,(,2
private,1_SP,long,1793
INTEGER_LITERAL,1_SP,*,1769
*,1_SP,INTEGER_LITERAL,2006
COMMENT,1_NL,void,4972
{,1_NL_16_SP,this,63
protected,1_SP,long,256
{,2_NL_4_SP,default,1
",",2_NL_2_SP,},1
;,1_NL_71_SP,},1
;,2_NL_46_SP,IDENTIFIER,1
",",1_NL_59_SP,BOOL_LITERAL,1
{,2_NL_40_SP,IDENTIFIER,1
;,2_NL_67_SP,return,1
{,1_NL_50_SP,IDENTIFIER,11
},2_NL_6_SP,},1
{,1_NL_44_SP,this,1
",",1_NL_16_SP,int,8
{,2_NL_42_SP,private,1
",",1_NL_38_SP,BOOL_LITERAL,1
;,2_NL_67_SP,if,1
STRING_LITERAL,1_NL_4_SP,+,349
IDENTIFIER,1_SP,",",209
;,1_NL_45_SP,},7
),1_NL_16_SP,.,119
",",1_NL,byte,9
{,1_NL_23_SP,super,2
<,0_None,long,114
long,0_None,[,2745
int,0_None,),2309
new,1_SP,long,520
},1_NL,for,1456
IDENTIFIER,1_SP,public,861
int,0_None,[,3800
{,1_NL_2_SP,class,1
;,1_SP,),120
],1_SP,>=,30
],1_SP,<,94
),1_SP,break,19
IDENTIFIER,1_NL_4_SP,(,12
return,2_SP,IDENTIFIER,87
{,1_NL_2_SP,case,450
case,1_SP,INTEGER_LITERAL,958
INTEGER_LITERAL,0_None,:,1141
COMMENT,1_NL,double,117
=,1_SP,DECIMAL_LITERAL,389
DECIMAL_LITERAL,0_None,;,417
{,2_SP,COMMENT,49
",",1_NL_4_SP,long,118
{,1_NL_2_SP,super,204
",",1_NL_4_SP,(,85
",",1_NL,COMMENT,878
static,1_SP,float,27
public,1_SP,float,357
(,0_None,float,983
float,0_None,[,1146
{,1_NL_2_SP,float,168
+=,1_SP,IDENTIFIER,3633
IDENTIFIER,1_SP,/,1398
/,1_SP,IDENTIFIER,856
?,1_SP,DECIMAL_LITERAL,21
DECIMAL_LITERAL,1_SP,-,29
(,0_None,-,5912
",",1_SP,-,838
{,1_SP,},394
try,0_None,{,113
IDENTIFIER,1_NL_2_SP,IDENTIFIER,20
+=,1_SP,(,101
IDENTIFIER,1_SP,%,396
),1_NL_2_SP,+,32
/,1_SP,INTEGER_LITERAL,1081
},2_NL,double,38
double,1_SP,[,31
new,1_SP,double,302
double,0_None,[,1401
long,1_SP,[,8
%,1_SP,IDENTIFIER,290
private,1_SP,double,287
{,1_NL_2_SP,double,240
;,1_NL,double,731
{,1_NL_2_SP,AT,555
),1_NL_2_SP,throws,117
COMMENT,3_NL,import,30
final,1_SP,float,106
;,2_NL_4_SP,int,49
private,1_SP,float,112
",",1_NL_4_SP,int,145
{,2_NL_2_SP,return,11
),1_SP,*,1707
IDENTIFIER,1_NL_4_SP,+,43
{,1_NL_2_SP,switch,303
case,1_SP,IDENTIFIER,24119
:,1_NL,case,7662
:,1_NL_2_SP,return,1090
;,2_NL_2_SP,case,271
;,2_NL_2_SP,default,42
:,1_NL_2_SP,throw,184
{,1_NL_2_SP,switch,9
;,2_NL_6_SP,case,17
;,2_NL_6_SP,default,5
extends,1_NL_4_SP,IDENTIFIER,44
{,1_NL_2_SP,private,17
private,1_SP,volatile,739
{,0_None,},1040
public,1_SP,double,562
new,1_SP,int,805
(,0_None,double,782
>=,1_SP,INTEGER_LITERAL,1536
->,1_SP,INTEGER_LITERAL,36
{,1_NL_2_SP,assert,128
assert,1_SP,IDENTIFIER,1050
==,1_SP,this,274
;,1_NL,float,208
new,1_SP,float,240
},1_NL,float,9
;,1_SP,++,258
++,0_None,IDENTIFIER,984
DECIMAL_LITERAL,1_SP,*,69
*,1_SP,(,326
(,0_None,DECIMAL_LITERAL,151
-,1_SP,DECIMAL_LITERAL,26
DECIMAL_LITERAL,0_None,),499
),1_SP,/,717
float,0_None,),332
abstract,1_SP,double,36
;,3_NL,AT,207
],1_SP,!=,234
],0_None,.,2266
+=,1_SP,super,4
+=,1_SP,INTEGER_LITERAL,797
abstract,1_SP,int,187
{,1_SP,return,68
;,0_None,},29
;,1_SP,},133
abstract,1_SP,long,98
",",1_SP,DECIMAL_LITERAL,178
DECIMAL_LITERAL,0_None,",",166
>,1_SP,DECIMAL_LITERAL,21
DECIMAL_LITERAL,1_SP,?,10
",",1_NL_4_SP,this,22
final,1_SP,byte,1794
COMMENT,1_NL,this,652
IDENTIFIER,1_SP,<<,606
<<,1_SP,INTEGER_LITERAL,1493
IDENTIFIER,1_SP,|=,532
|=,1_SP,INTEGER_LITERAL,6
(,0_None,++,70
++,0_None,],1630
byte,0_None,),3780
IDENTIFIER,1_SP,<<=,22
<<=,1_SP,INTEGER_LITERAL,18
INTEGER_LITERAL,1_SP,-,287
COMMENT,3_NL,public,17
;,1_NL,assert,351
{,2_NL_2_SP,default,2
default,1_SP,boolean,70
},2_NL,void,965
throws,1_NL_2_SP,IDENTIFIER,2
;,1_NL_8_SP,for,117
;,1_NL_8_SP,int,91
),1_NL,+,238
;,2_NL_2_SP,double,5
;,2_NL,double,57
),1_NL_4_SP,.,230
:,1_SP,new,317
",",1_NL_4_SP,double,38
],0_None,{,1835
STRING_LITERAL,1_NL_2_SP,+,17
(,1_NL_4_SP,this,161
:,1_SP,{,4197
-,1_SP,(,273
},2_NL,case,167
},2_NL,break,45
},2_NL,default,279
IDENTIFIER,1_SP,++,9
],1_SP,+=,126
static,1_SP,int,1504
;,1_NL_4_SP,while,18
static,1_SP,double,89
:,1_NL_4_SP,IDENTIFIER,5606
;,2_NL,synchronized,60
<,0_None,int,58
],1_SP,-,171
;,4_NL,COMMENT,124
;,1_NL_4_SP,int,25
{,1_NL_2_SP,if,124
/,1_SP,(,327
COMMENT,1_NL,float,326
=,1_NL_4_SP,(,60
),0_None,(,96
;,2_SP,COMMENT,285
COMMENT,2_NL,AT,334
{,2_NL_2_SP,COMMENT,613
{,1_NL_2_SP,int,57
{,1_NL_2_SP,for,19
;,3_NL,IDENTIFIER,255
;,0_None,),371
=,1_SP,BINARY_LITERAL,148
BINARY_LITERAL,0_None,;,167
IDENTIFIER,1_SP,&,2133
&,1_SP,IDENTIFIER,1025
IDENTIFIER,1_SP,>>=,18
>>=,1_SP,INTEGER_LITERAL,17
--,0_None,),147
),1_SP,&,839
&,1_SP,BINARY_LITERAL,12
;,1_NL,byte,1289
>,1_SP,(,42
&,1_SP,HEX_LITERAL,1691
HEX_LITERAL,0_None,),2068
;,3_NL,import,722
COMMENT,1_NL,long,1126
{,1_NL_2_SP,void,9
),1_NL_4_SP,:,3
),1_NL_4_SP,-,4
>=,1_SP,DECIMAL_LITERAL,12
private,1_SP,class,348
final,1_SP,double,317
;,2_NL_2_SP,IDENTIFIER,94
IDENTIFIER,0_None,+=,226
+=,0_None,INTEGER_LITERAL,7
{,1_NL_2_SP,while,83
IDENTIFIER,1_NL_2_SP,IDENTIFIER,10
STRING_LITERAL,1_NL,+,3896
[,0_None,(,57
<,1_SP,this,114
],1_SP,-=,46
-=,1_SP,IDENTIFIER,423
],1_SP,*=,7
{,2_NL_2_SP,float,2
!=,1_SP,DECIMAL_LITERAL,26
-,0_None,IDENTIFIER,779
abstract,1_SP,float,19
private,1_SP,transient,469
transient,1_SP,int,128
;,1_NL_14_SP,},69
{,3_NL_2_SP,private,2
",",1_NL_17_SP,int,4
{,1_NL_15_SP,super,7
},3_NL,COMMENT,1430
;,2_NL,float,23
),1_NL_4_SP,/,5
],1_SP,*,105
",",1_NL_4_SP,float,18
while,0_None,(,467
IDENTIFIER,1_SP,[,44
=,1_NL_2_SP,(,11
